title,undertitle,price,address,date,key_value,propertydetail
Apartment For Sale in Okkalappa South,"2 bedroom, 1 bathroom Apartment for sale in Okkalappa South, Yangon","For Sale                                    
                        2,890 Lakhs","Okkalappa South, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Apartment'), ('Area', ""18' x 54'""), ('Bed Room', '2'), ('Bath Room', '1'), ('Ownership', '')]",Property Name : တောင်ဥက္ကလာ  V I P   6ရပ်ကွက်  အင်းဝလမ်းမပေါ်
Apartment For Sale in Dagon Myothit (North),"Luxury Apartment for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        2,400 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Apartment'), ('Area', '900 ft<sup>2</sup>'), ('Ownership', '')]",Property Name : မြောက်ဒဂုံ၊ ၄၂ ရပ်ကွက်၊ ဗိုလ်မင်းရောင်အိမ်ရာ၊ စည်ပင် owner Book အမည်ပေါက် အရှုပ်အရှင်းကင်း
House For Sale in Dagon Myothit (North),"5 bedroom, 7 bathroom Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        12,900 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Area', ""21' x 60'""), ('Bed Room', '5'), ('Bath Room', '7'), ('Ownership', '')]",Property Name : မြောက်ဒဂုံ မြို့နယ် 41ရပ်ကွက်  3Rc[ Roofslab]တိုက်သစ် အရောင်း
Apartment For Sale in Thingangkuun,"2 bedroom, 2 bathroom Apartment for sale in Thingangkuun, Yangon","For Sale                                    
                        2,250 Lakhs","Thingangkuun, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Apartment'), ('Floor', '5 Floor'), ('Area', ""18' x 54'""), ('Bed Room', '2'), ('Bath Room', '2'), ('Ownership', '')]",Property Name : သင်္ဃန်းကျွန်းမြို့နယ် ၊ (၁၆)ရပ်ကွက်၊  ရျိ တိုက်ခန်းအရောင်း 
TS,"2 bedroom, 1 bathroom Apartment for sale in Tamwe, Yangon","For Sale                                    
                        2,450 Lakhs","Tamwe, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Apartment'), ('Floor', '1F'), ('Area', ""18' x 50'""), ('Bed Room', '2'), ('Bath Room', '1'), ('Ownership', '')]",Property Name : တာမွေ မေတ္တာညွန်ရပ်ကွက် တိုက်ခန်းကျယ်အရောင်း
Apartment For Sale in Okkalappa South,"2 bedroom, 2 bathroom Apartment for sale in Okkalappa South, Yangon","For Sale                                    
                        2,970 Lakhs","Okkalappa South, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Apartment'), ('Floor', '2Floor'), ('Area', ""18' x 54'""), ('Bed Room', '2'), ('Bath Room', '2'), ('Ownership', '')]",Property Name : တောင်ဥက္ကလာပမြို့နယ် (၄)ရပ်ကွက် ၄/၆ ဗြက်မစိုရ် နှင့်ပါရမီလမ်းမ ဒဲ့ပေါက်သော အတွင်းလမ်းကျယ် သီလလမ်းမပေါ် 
CS,"2 bedroom, 2 bathroom Condo for sale in Kamaryut, Yangon","For Sale                                    
                        4,200 Lakhs","Kamaryut, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Condo'), ('Area', ""19' x 50'""), ('Bed Room', '2'), ('Bath Room', '2'), ('Ownership', '')]",Property Name : ကမာရွတ်မြို့နယ် ဗဟိုလမ်းမကြီးအနီး Condo အရောင်း
Apartment For Sale in Yankin,"2 bedroom, 2 bathroom Apartment for sale in Yankin, Yangon","For Sale                                    
                        2,290 Lakhs","Yankin, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Apartment'), ('Floor', '3Floor'), ('Area', '1060 ft<sup>2</sup>'), ('Bed Room', '2'), ('Bath Room', '2'), ('Ownership', '')]",Property Name : ရန်ကင်းမြို့နယ် သစ္စာလမ်းမ သံလမ်း အလွှာနိမ့်ဒုတိယထပ်တိုက်သစ် ပြင်ဆင်ပီး
CS,"3 bedroom, 2 bathroom Condo for sale in Okkalappa South, Yangon","For Sale                                    
                        9,800 Lakhs","Okkalappa South, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Condo'), ('Area', '1199 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '2'), (' Phone ', 'Yes'), ('Ownership', 'Contract')]",Property Name : တောင်ဥက္ကလာ Inno City Condo For Sale
CS,"2 bedroom, 2 bathroom Condo for sale in Thanlyin, Yangon","For Sale                                    
                        4,500 Lakhs","Thanlyin, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Condo'), ('Area', '938 ft<sup>2</sup>'), ('Bed Room', '2'), ('Bath Room', '2'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : Star City Zone B Condo For Sale
CS,"3 bedroom, 2 bathroom Condo for sale in Yankin, Yangon","For Sale                                    
                        99,600 Lakhs","Yankin, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Condo'), ('Area', '1035 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '2'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : ရန်ကင်း Kanbae Tower ကွန်ဒိုအရောင်း
Apartment For Sale in Okkalappa South,"2 bedroom, 2 bathroom Apartment for sale in Okkalappa South, Yangon","For Sale                                    
                        2,790 Lakhs","Okkalappa South, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Apartment'), ('Floor', '4 Floor'), ('Area', ""17' x 54'""), ('Bed Room', '2'), ('Bath Room', '2'), ('Ownership', '')]",Property Name : တောင်ဥက္ကလာပမြို့နယ် ပြင်ဆင်ပြီးအသင့်နေတိုက်သစ်_ရောင်းမည် ✅
CS,"3 bedroom, 3 bathroom Condo for sale in Thingangkuun, Yangon","For Sale                                    
                        5,500 Lakhs","Thingangkuun, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Condo'), ('Area', '1800 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '3'), ('Ownership', '')]",Property Name : သဃ်န်းကျွန်း သဇင်မင်းရိပ်သာ ကွန်ဒိုအရောင်း
CS,"3 bedroom, 2 bathroom Condo for sale in Dagon Myothit (Seikkan), Yangon","For Sale                                    
                        3,500 Lakhs","Dagon Myothit (Seikkan), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Condo'), ('Area', '1184 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '2'), ('Ownership', '')]",Property Name : ဧရာချမ်းသာကွန်ပြင်ဆင်ပီးတိုက်ခန်းအရောင်း
House For Sale in Mingaladon,"Privatehouse for sale in Mingaladon, Yangon","For Sale                                    
                        880 Lakhs","Mingaladon, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Area', ""20' x 25'""), ('Ownership', '')]",Property Name : စျေးလျော့ချလိုက်ပါပြီ
Apartment For Sale in Hlaing,"Apartment for sale in Hlaing, Yangon","For Sale                                    
                        980 Lakhs","Hlaing, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Apartment'), ('Floor', '1'), ('Area', ""12.50' x 40'""), ('Ownership', '')]",Property Name : လှိုင်မြို့နယ် ၁၃ရပ်ကွက်၊ အောင်မင်္ဂလာလမ်းပထမထပ် (ဒုတိယလွှာ) အခန်းလေးပါရှင့် 
Condo For Sale in Sanchaung,"Luxury Condo for sale in Sanchaung, Yangon","For Sale                                    
                        5,700 Lakhs","Sanchaung, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Condo'), ('Floor', '6'), ('Area', '1800 ft<sup>2</sup>'), ('Ownership', '')]",Property Name : ဒီခေတ်စျေးနဲ့ Decoration လုပ်ရင် သိန်း ၁၀၀၀ ကျော်လောက် ကုန်ကျစရိတ်ရှိနိုင်တဲ့ ရှယ်ပြင်ဆင်ထားပြီးတဲ့ အပြငိ Standard ပြတင်းပေါက်Size ကို ချဲ့ ထားပြီး ဘေးတိုက်မရှိ လေဝင်လေထွက် ကောင်း တဲ့ ရှားပါးအခန်း 
Apartment For Sale in Mayangone,"Luxury Apartment for sale in Mayangone, Yangon","For Sale                                    
                        1,100 Lakhs","Mayangone, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Apartment'), ('Floor', '3'), ('Area', ""12.50' x 50'""), ('Ownership', '')]",Property Name : သင်္ဃန်ကျွန်းမြို့နယ် ရန်ကုန်သစ်ရပ်ကွက်   ဘုရင့်နောင်၁၈လမ်း ဘဏ်ချိတ်ရ အရောင်းခန်းလေးပါ✅✅
House For Sale in Okkalappa South,"Luxury Privatehouse for sale in Okkalappa South, Yangon","For Sale                                    
                        22,000 Lakhs","Okkalappa South, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '4 RC'), ('Area', ""20' x 60'""), ('Ownership', 'Contract')]",Property Name : တောင်ဥက္ကလာ ၊ ဗြဟ္မစိုရ်လမ်းမပေါ် ပေ 20 x 60 ရှိ 4RC လုံးချင်းရောင်းမည်
House For Sale in Okkalappa South,"Luxury Privatehouse for sale in Okkalappa South, Yangon","For Sale                                    
                        18,500 Lakhs","Okkalappa South, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '3 RC'), ('Area', ""20' x 60'""), ('Ownership', 'Contract')]",Property Name : တောင်ဥက္ကလာ ၊ ဗြဟ္မစိုရ်လမ်းမပေါ်ရှိ 3RC လုံးချင်းအိမ်ရောင်းမည်
Land For Sale in Mayangone," Land for sale in Mayangone, Yangon","For Sale                                    
                        4,600 Lakhs","Mayangone, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Land'), ('Area', ""30' x 50'""), ('Ownership', '')]",Property Name : မရမ်းကုန်း ၅ရပ်ကွက် ဘုရင့်နောင်လမ်း အိမ်ကြီး အိမ်ကောင်းများ သူဌေးများနေတဲ့လမ်း ပတ်ဝန်းကျင်သန့်
House For Sale in Okkalappa South,"Luxury Privatehouse for sale in Okkalappa South, Yangon","For Sale                                    
                        21,000 Lakhs","Okkalappa South, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '1 BN'), ('Area', ""30' x 60'""), ('Ownership', 'Contract')]",Property Name : တောင်ဥက္ကလာ၊သစ္စာလန်းမပေါ်ရှိ ပေ 30x60 အကျယ်ရှိ 1BN လုံးချင်းရောင်းမည်
Condo For Sale in Thanlyin,"Luxury Condo for sale in Thanlyin, Yangon","For Sale                                    
                        2,500 Lakhs","Thanlyin, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Condo'), ('Area', '484 ft<sup>2</sup>'), ('Ownership', '')]",Property Name : City loft for sale
House For Sale in Okkalappa South,"Luxury Privatehouse for sale in Okkalappa South, Yangon","For Sale                                    
                        18,000 Lakhs","Okkalappa South, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 BN'), ('Area', ""20' x 60'""), ('Ownership', 'Contract')]",Property Name : တောင်ဥက္ကလာ ၊ ဗြဟ္မစိုရ်လမ်းမပေါ် 20 x 60 ၊ 2BN လုံးချင်းရောင်းမည်
CS,"2 bedroom, 1 bathroom Condo for sale in Kyeemyindaing, Yangon","For Sale                                    
                        2,650 Lakhs","Kyeemyindaing, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Condo'), ('Area', ""13.50' x 60'""), ('Bed Room', '2'), ('Bath Room', '1'), ('Ownership', '')]",Property Name : ကြည့်မြင်တိုင် နိဗ္ဗာန်လမ်းကွန်ဒိုအရောင်း
House For Sale in Yankin,"6 bedroom, 6 bathroom Privatehouse for sale in Yankin, Yangon","For Sale                                    
                        80,000 Lakhs","Yankin, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 RC'), ('Area', ""80' x 60'""), ('Bed Room', '6'), ('Bath Room', '6'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master Bedroom Only')]",Property Name : ရန်ကင်း ၊ ဘောက်ထော်တွင် ပေ 80 x 60 ရှိသော 2RC လုံးချင်းရောင်းမည်
CS,"2 bedroom, 2 bathroom Condo for sale in Kyeemyindaing, Yangon","For Sale                                    
                        3,100 Lakhs","Kyeemyindaing, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Condo'), ('Area', ""15' x 60'""), ('Bed Room', '2'), ('Bath Room', '2'), ('Ownership', '')]",Property Name : ကြည့်မြင်တိုင်ကမ်းနားလမ်းမကြီးဒဲ့ပေါက် အသင့်နေကွန်ဒိုအရောင်း
House For Sale in Dagon Myothit (North),"5 bedroom, 5 bathroom Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        8,800 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '3 RC'), ('Area', ""40' x 60'""), ('Bed Room', '5'), ('Bath Room', '5'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : မြောက်ဒဂုံ၊ (38)ရပ်ကွက်၊ တပင်ရွှေထီးလမ်းမကျောကပ်၊ ပြည်ထောင်စုတည့်ပေါက်ရှိ 3RC ရောင်းမည်
CS,"1 bedroom, 1 bathroom Condo for sale in Thanlyin, Yangon","For Sale                                    
                        4,200 Lakhs","Thanlyin, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Condo'), ('Area', '647 ft<sup>2</sup>'), ('Bed Room', '1'), ('Bath Room', '1'), ('Ownership', '')]",Property Name : Star City Galaxy Tower 4 For Sale
House For Sale in Dagon Myothit (North),"3 bedroom, 2 bathroom Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        8,500 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 RC'), ('Area', ""20' x 60'""), ('Bed Room', '3'), ('Bath Room', '2'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : မြောက်ဒဂုံ၊မဟာဗန္ဓုလလမ်းမအနီး၊ 28ရပ်ကွက် 20×60 အကျယ်ရှိ 2RC လုံးချင်းရောင်းမည်
House For Sale in Kamaryut,"6 bedroom, 3 bathroom Privatehouse for sale in Kamaryut, Yangon","For Sale                                    
                        55,000 Lakhs","Kamaryut, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 RC'), ('Area', ""57' x 130'""), ('Bed Room', '6'), ('Bath Room', '3'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : ကမာရွတ် ၊ ရတနာမြိုင်အိမ်ရာရှိ အိပ်ခန်း ၆ ခန်းပါ 2RC လုံးချင်းရောင်းမည်
House For Sale in Kamaryut,"4 bedroom, 4 bathroom Privatehouse for sale in Kamaryut, Yangon","For Sale                                    
                        62,000 Lakhs","Kamaryut, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 RC'), ('Area', ""70' x 70'""), ('Bed Room', '4'), ('Bath Room', '4'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master Bedroom Only')]",Property Name : ကမာရွတ် ၊ ရတနာမြိုင်အိမ်ရာ 70 x 70 ပတ်လည်ရှိသော 2RC လုံးချင်းရောင်းမည်
House For Sale in Kamaryut,"6 bedroom, 5 bathroom Privatehouse for sale in Kamaryut, Yangon","For Sale                                    
                        55,000 Lakhs","Kamaryut, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 RC'), ('Area', ""75' x 95'""), ('Bed Room', '6'), ('Bath Room', '5'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : ကမာရွတ် ၊ အောင်မြေသာစည်အိမ်ရာတွင် 2RC လုံးချင်းရောင်းမည်
House For Sale in Kamaryut,"5 bedroom, 3 bathroom Privatehouse for sale in Kamaryut, Yangon","For Sale                                    
                        42,000 Lakhs","Kamaryut, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 RC'), ('Area', ""60' x 60'""), ('Bed Room', '5'), ('Bath Room', '3'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : ကမာရွတ် ၊ အောင်မြေသာစည်အိမ်ရာတွင် ပေ 60 x 60 ရှိသော 2RC လုံးချင်းရောင်းမည်
House For Sale in Hlaing,"6 bedroom, 6 bathroom Privatehouse for sale in Hlaing, Yangon","For Sale                                    
                        70,000 Lakhs","Hlaing, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2RC'), ('Area', ""60' x 70'""), ('Bed Room', '6'), ('Bath Room', '6'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master Bedroom Only')]",Property Name : လှိုင် ၊ ကန်လမ်း 60 x 70 ရှိသော 2RC လုံးချင်းအိမ်ရောင်းမည်
Land For Sale in Okkalappa South," Land for sale in Okkalappa South, Yangon","For Sale                                    
                        12,000 Lakhs","Okkalappa South, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Land'), ('Area', ""40' x 60'""), ('Ownership', 'Contract')]",Property Name : တောင်ဥက္ကလာ၊ သစ္စာလမ်းမအနီး  မြေ (ထောင့်ကွက်) ရောင်းမည်
Land For Sale in Okkalappa South," Land for sale in Okkalappa South, Yangon","For Sale                                    
                        14,500 Lakhs","Okkalappa South, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Land'), ('Area', ""52' x 58'""), ('Ownership', 'Contract')]",Property Name : တောင်ဥက္ကလာ၊ မေတ္တာလမ်းမအနီး မြေကွက်ရောင်းမည်
House For Sale in Okkalappa South,"Luxury Privatehouse for sale in Okkalappa South, Yangon","For Sale                                    
                        8,800 Lakhs","Okkalappa South, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '1 BN'), ('Area', ""40' x 60'""), ('Ownership', 'Contract')]",Property Name : တောင်ဥက္ကလာ၊ သံသုမာလမ်းမကျောကပ် 40×60  1BN လုံးချင်းရောင်းမည်
House For Sale in Thingangkuun,"Luxury Privatehouse for sale in Thingangkuun, Yangon","For Sale                                    
                        25,000 Lakhs","Thingangkuun, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '1 SS'), ('Area', ""23' x 60'""), ('Ownership', 'Contract')]",Property Name : သင်္ဃန်းကျွန်း ၊ လေးထောင့်ကန်လမ်းမပေါ်ရှိ 1SS လုံးချင်းရောင်းမည်
Land For Sale in Hlaing," Land for sale in Hlaing, Yangon","For Sale                                    
                        57,000 Lakhs","Hlaing, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Land'), ('Floor', '2RC+2RC'), ('Area', ""70' x 70'""), ('Ownership', 'Grant')]",Property Name : လှိုင်မြို့နယ်၊ ပါရမီလမ်းမပေါ်ရှိ 2RC+2RC ၂ လုံးပါ လုံးချင်းရောင်းမည်
Land For Sale in Dagon Myothit (North)," Land for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        6,000 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Land'), ('Area', ""20' x 60'""), ('Ownership', 'Contract')]",Property Name : မြောက်ဒဂုံ၊ (29)ရပ်ကွက်၊  ဗန္ဓုလမ်းမအနီး 20 × 60 မြေကွက်ရောင်းမည်
House For Sale in Dagon Myothit (North),"5 bedroom, 5 bathroom Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        16,000 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 RC'), ('Area', ""40' x 60'""), ('Bed Room', '5'), ('Bath Room', '5'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : မြောက်ဒဂုံ၊ (38)ရပ်ကွက်၊  တပင်ရွှေထီးလမ်းမအနီး 2RC လုံးချင်းအိမ်ရောင်းမည်
House For Sale in Dagon Myothit (North),"3 bedroom, 3 bathroom Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        15,000 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '1 RC'), ('Area', ""40' x 60'""), ('Bed Room', '3'), ('Bath Room', '3'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : မြောက်ဒဂုံ၊ (28)ရပ်ကွက်၊  ဆရာစံလမ်းမအနီး 1RC လုံးချင်းရောင်းရန်ရှိသည်
House For Sale in Dagon Myothit (North),"Luxury Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        12,000 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '1 RC'), ('Area', ""40' x 60'""), ('Ownership', 'Contract')]",Property Name : မြောက်ဒဂုံ၊ (28)ရပ်ကွက်၊  ပြည်ထောင်စုလမ်းမအနီး 40 × 60 1RC လုံးချင်းရောင်းမည်
Land For Sale in Dagon Myothit (North)," Land for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        14,200 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Land'), ('Area', ""45' x 60'""), ('Ownership', 'Contract')]",Property Name : မြောက်ဒဂုံ၊ (37)ရပ်ကွက်၊  မန္တလေးလမ်းမ တည့်ပေါက်၊ 45× 60 မြေကွက်ရောင်းမည်
Apartment For Sale in Thingangkuun,"3 bedroom, 2 bathroom Apartment for sale in Thingangkuun, Yangon","For Sale                                    
                        2,500 Lakhs","Thingangkuun, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Apartment'), ('Floor', '2'), ('Area', '900 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '2'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : #သဃ်န်းကျွန်း မလိခအိမ်ယာဝန်းအတွင်း တိုက်ခန်းရောင်း#
House For Sale in Dagon Myothit (East),"3 bedroom, 3 bathroom Privatehouse for sale in Dagon Myothit (East), Yangon","For Sale                                    
                        10,500 Lakhs","Dagon Myothit (East), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Area', ""38' x 75'""), ('Bed Room', '3'), ('Bath Room', '3'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master Bedroom Only')]",Property Name : အရှေ့ဒဂုံ ၊ ချမ်းသာရွှေပြည်အိမ်ရာတွင် ရောင်းရန်ရှိသော 2RC လုံးချင်းအိမ်
House For Sale in Mayangone,"3 bedroom, 3 bathroom Privatehouse for sale in Mayangone, Yangon","For Sale                                    
                        17,000 Lakhs","Mayangone, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 RC'), ('Area', '2831 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '3'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : မရမ်းကုန်း၊ (9)မိုင်၊မစိုးရိမ်တွင် 2RC လုံးချင်းရောင်းမည်
House For Sale in Mayangone,"5 bedroom, 5 bathroom Privatehouse for sale in Mayangone, Yangon","For Sale                                    
                        78,500 Lakhs","Mayangone, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '5 RC'), ('Area', ""42' x 112'""), ('Bed Room', '5'), ('Bath Room', '5'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master Bedroom Only')]",Property Name : မရမ်းကုန်း၊ (8) မိုင်လမ်းဆုံအနီး (တိုက်သစ်၊ပြင်ဆင်ပြီး) swimming pool ပါတဲ့ 5RC လုံးချင်းရောင်းမည်
Gems Condominium For Sales Hlaing Township In Yangon,"3 bedroom, 3 bathroom Condo for sale in Hlaing, Yangon","For Sale                                    
                        9,900 Lakhs","Hlaing, Yangon",Posted Date : 08 Dec 2025,"[('Type', 'Condo'), ('Floor', 'Middle floor'), ('Area', '1505 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '3'), ('Ownership', '')]","Property Name : လှိုင်မြို့နယ်ရှိGems Condominiumအရောင်း/Gems Condominium For Sales Hlaing Township In Yangon/09892600050,09892600060"
House For Sale in Dagon Myothit (North),"Luxury Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        8,000 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 RC'), ('Area', ""20' x 60'""), ('Ownership', 'Grant')]",Property Name : မြောက်ဒဂုံမြို့နယ် (47)ရပ်ကွက် ဘုရင့်‌ေနာင်လမ်းမကြီးအနီး ဂရန်ခွဲ 2RC လုံးချင်းအိမ်အရောင်း
House For Sale in Dagon Myothit (North),"Luxury Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        4,500 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 BN'), ('Area', ""20' x 60'""), ('Ownership', 'Grant')]",Property Name : မြောက်ဒဂုံမြို့နယ် (47)ရပ်ကွက် ဘုရင့်‌ေနာင်လမ်းမကြီး အနီး ပေ( 20×60 ) ဂရန်မူရင်း 2BN လုံးချင်းအိမ်အရောင်း
House For Sale in Dagon Myothit (North),"Luxury Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        3,500 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Area', ""20' x 60'""), ('Ownership', 'Grant')]",Property Name : မြောက်ဒဂုံမြို့နယ် (47)ရပ်ကွက် ဘုရင့်‌ေနာင်လမ်းမကြီးအနီး ပေ( 20×60 ) ဂရန်မူရင်း လုံးချင်းအိမ် အရောင်း
House For Sale in Dagon Myothit (North),"Luxury Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        16,500 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 RC'), ('Area', ""40' x 60'""), ('Ownership', 'Grant')]",Property Name : မြောက်ဒဂုံမြို့နယ် (47)ရပ်ကွက် ဗိုလ်မှုးဗထူးလမ်းမကြီးဒဲ့ပေါက် ပေ( 40×60 ) ဂရန်အမည်ပေါက် 2RC လုံးချင်းအိမ် အရောင်း
House For Sale in Dagon Myothit (North),"Luxury Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        4,000 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '1BN'), ('Area', ""20' x 60'""), ('Ownership', 'Grant')]",Property Name : မြောက်ဒဂုံမြို့နယ် (47)ရပ်ကွက် ဗိုလ်မှုးဗထူးလမ်းမကြီးအနီး ပေ( 20×60 ) ဂရန်မူရင်း 1BN လုံးချင်းအိမ် အရောင်း
House For Sale in Dagon Myothit (North),"Luxury Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        20,000 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Floor', '2 RC'), ('Area', ""40' x 60'""), ('Ownership', 'Contract')]",Property Name : မြောက်ဒဂုံမြို့နယ် (44)ရပ်ကွက် ဗိုလ်မှုးဗထူးလမ်းမကြီးဒဲ့ပေါက် ပေ( 40×60 ) မြေပုံကူး 2RC လုံးချင်းအိမ်အရောင်း
House For Sale in Dagon Myothit (North),"Luxury Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        9,000 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 08 Dec 2025,"[('Type', 'House'), ('Area', ""40' x 60'""), ('Ownership', 'Grant')]",Property Name : အရှေ့ဒဂုံမြို့နယ် (6)ရပ်ကွက် မင်းရဲ‌ေကျာ်စွာလမ်းမဒဲ့ပေါက် -ပေ( 40×60 ) ဂရန်အမည်ပေါက် လုံးချင်းအိမ်အရောင်း
